X,Y,address,city,zip,phone,website,island,district,principal,objectid,fax,grade_from,grade_to,complex,complex_area,charter,sch_code,sch_name,sch_type,Enrollment,Teachers,AdminFTE,In list
-157.8308982,21.43534484,47-470 Hui Aeko Place,Kaneohe,96744,808.305.4800,http://www.ahuimanu.k12.hi.us,Oahu,Windward,Kimi Yuki  Ikeda,1,808.239.3127,K,6,Castle,Castle-Kahuku,0,335,Ahuimanu Elem School,Elementary,279,22,4,TRUE
-157.927945,21.37576602,99-370 Moanalua Road,Aiea,96701,808.305.4400,https://www.aieael.k12.hi.us,Oahu,Central,James L  Kau,2,808.483.7201,K,6,Aiea,Aiea-Moanalua-Radford,0,200,Aiea Elem School,Elementary,308,22,4,TRUE
-157.9304686,21.38369077,98-1276 Ulune Street,Aiea,96701,808.305.6500,http://www.aieahs.org/,Oahu,Central,David Fati  Tanuvasa,3,808.483.7303,9,12,Aiea,Aiea-Moanalua-Radford,0,202,Aiea High School,High,1008,62,16,TRUE
-157.922161,21.38108601,99-600 Kulawea Street,Aiea,96701,808.305.9200,http://www.aieais.k12.hi.us/,Oahu,Central,Tom H  Kurashige,4,808.483.7235,7,8,Aiea,Aiea-Moanalua-Radford,0,201,Aiea Inter School,Middle,462,36,7,TRUE
-157.7492431,21.42442854,281 Ilihau Street,Kailua,96734,808.254.7944,http://www.aikahielementary.com/,Oahu,Windward,Keoki L  Fraser,5,808.254.7962,K,6,Kalaheo,Kailua-Kalaheo,0,300,Aikahi Elem School,Elementary,478,31,2,TRUE
-157.7556075,21.2792199,801 West Hind Drive,Honolulu,96821,808.377.2419,http://www.ainahaina.k12.hi.us,Oahu,Honolulu,Brendan P  Burns,6,808.377.2426,K,5,Kaiser,Farrington-Kaiser-Kalani,0,100,Aina Haina Elem School,Elementary,405,29,6,TRUE
-157.826733,21.28472899,503 Kamoku Street,Honolulu,96826,808.973.0070,http://www.alawaielementary.org/,Oahu,Honolulu,Michelle Danette  Debusca,7,808.973.0081,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,101,Ala Wai Elem School,Elementary,363,25,4,TRUE
-159.4919457,21.9253633,2-4035 Kaumualii Hwy,Koloa,96746,808.635.5110,http://www.alakaiokauai.org/,Kauai,Kauai,DJ Adams,8,000.000.0000,K,5,Kauai,Kapaa-Kauai-Waimea,1,558,Alaka'i O Kaua'i,Elementary,172,,,FALSE
-157.9139327,21.34367535,3265 Salt Lake Blvd.,Honolulu,96818,808.421.4280,http://aliamanu.k12.hi.us/,Oahu,Central,Sandra S  Yoshimi,9,808.421.4283,K,6,Radford,Aiea-Moanalua-Radford,0,203,Aliamanu Elem School,Elementary,621,45,7,TRUE
-157.9139327,21.34367535,3271 Salt Lake Blvd.,Honolulu,96818,808.421.4100,http://www.aliamanumiddle.org,Oahu,Central,Albert M IV Hetrick,10,808.421.4103,7,8,Radford,Aiea-Moanalua-Radford,0,204,Aliamanu Middle School,Middle,694,45,7,TRUE
-157.8043683,21.28602584,1240 7th Avenue,Honolulu,96816,808.733.4750,http://www.aliiolani.k12.hi.us/,Oahu,Honolulu,Joseph Andrew  Passantino,11,808.733.4758,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,102,Aliiolani Elem School,Elementary,238,18,3,TRUE
-157.790029,21.303664,2528 10th Avenue,Honolulu,96816,808.733.8465,http://home.anuenue.org/,Oahu,Honolulu,Christopher David  Yim,12,808.733.8467,K,12,Roosevelt,Kaimuki-McKinley-Roosevelt,0,103,Anuenue School,Elementary-Middle-High,502,28,8,TRUE
-158.001775,21.394437,94-1170 Waipahu Street,Waipahu,96797,808.675.0202,http://www.augustahrens.org/,Oahu,Leeward,Hanh Quang  Nguyen,13,808.675.0216,K,6,Waipahu,Pearl City-Waipahu,0,250,August Ahrens Elem School,Elementary,1219,83,9,TRUE
-156.49129,20.8889175,1650 Kaahumanu Avenue,Wailuku,96793,808.984.5656,http://www.baldwin.k12.hi.us/,Maui,Maui,Christopher K K  Wilhelm,14,808.984.5674,9,12,Baldwin,Baldwin-Kekaulike-Maui,0,400,Baldwin High School,High,1350,81,16,TRUE
-158.0829659,21.32128467,3001 Boxer Road,Kapolei,96707,808.673.7400,http://barbers.k12.hi.us/,Oahu,Leeward,Sandy Kaiulani  Calio,15,808.673.7403,K,5,Kapolei,Campbell-Kapolei,0,251,Barbers Point Elem School,Elementary,503,36,5,TRUE
-158.009712,21.31576198,91-980 North Road,Ewa Beach,96706,808.689.1200,http://www.campbellhigh.org/,Oahu,Leeward,Jonhenry Sau Chen  Lee,16,808.689.1242,9,12,Campbell,Campbell-Kapolei,0,252,Campbell High School,High,3075,185,24,TRUE
-157.794885,21.40467549,45-386 Kaneohe Bay Drive,Kaneohe,96744,808.233.5600,http://www.castlehs.k12.hi.us/,Oahu,Windward,Bernadette L S  Tyrell,17,808.233.5623,9,12,Castle,Castle-Kahuku,0,301,Castle High School,High,1116,79,16,TRUE
-157.856865,21.311573,1302 Queen Emma Street,Honolulu,96813,808.587.4400,https://www.cmshnl.org/,Oahu,Honolulu,Anne Marie Lynn  Murphy,18,808.587.4409,6,8,McKinley,Kaimuki-McKinley-Roosevelt,0,104,Keelikolani Middle School,Middle,336,24,9,FALSE
-155.0862762,19.72545775,174 Kamehameha Avenue,Hilo,96720,808.961.3664,http://www.connectionscharterschool.org/,Hawaii,Hawaii,John L. Thatcher  II,19,808.961.2665,K,12,Hilo,Hilo-Waiakea,1,396,Connections-PCS,Elementary-Middle-High,366,,,FALSE
-155.1145031,19.70976733,278 Ainako Avenue,Hilo,96720,808.974.4855,http://www.ebdesilva.org/,Hawaii,Hawaii,Dennis R  O'Brien,20,808.974.4858,K,6,Hilo,Hilo-Waiakea,0,351,DeSilva Elem School,Elementary,461,24,4,TRUE
-157.87145,21.34309801,1803 Kamehameha IV Road,Honolulu,96819,808.832.3340,https://www.dolemiddleschool.org/,Oahu,Honolulu,Mavis Sachiko  Tasaka,21,808.832.3349,6,8,Farrington,Farrington-Kaiser-Kalani,0,105,Dole Middle School,Middle,547,51,9,TRUE
-158.0775073,21.3226541,91-1245 Franklin D Roosevelt Avenue,Kapolei,96707,808.772.4012,https://www.dreamhouseewabeach.org,Oahu,Leeward,Alex Teece,22,000.000.0000,6,6,Campbell,Campbell-Kapolei,1,568,DreamHouse 'Ewa Beach,Middle,287,,,FALSE
-159.5838967,21.90934464,4750 Uliuli Road,Eleele,96705,808.335.2111,http://www.eleeleschool.k12.hi.us/,Kauai,Kauai,Allison Leiko  Carveiro,23,808.335.8415,K,5,Waimea,Kapaa-Kauai-Waimea,0,451,Eleele Elem School,Elementary,425,33,4,TRUE
-157.731527,21.38403874,770 Keolu Drive,Kailua,96734,808.266.7800,https://enchantedlake.wixsite.com/eles,Oahu,Windward,Pua'ala   McElhaney,24,808.266.7804,K,6,Kailua,Kailua-Kalaheo,0,302,Enchanted Lake Elem School,Elementary,287,24,4,TRUE
-158.0147378,21.31466429,91-740 Papipi Road,Ewa Beach,96706,808.689.1271,http://www.ewabeachelementary.org/,Oahu,Leeward,Shayne John  Greenland,25,808.689.1275,K,6,Campbell,Campbell-Kapolei,0,254,Ewa Beach Elem School,Elementary,764,45,7,TRUE
-158.0338373,21.34399672,91-1280 Renton Road,Ewa Beach,96706,808.307.8200,https://www.ewa.k12.hi.us/,Oahu,Leeward,Stanley  Jr Tamashiro,26,808.681.8206,K,5,Campbell,Campbell-Kapolei,0,253,Ewa Elem School,Elementary,1035,68,8,TRUE
-158.027574,21.32273602,91-6291 Kapolei Parkway,Kapolei,96706,808.687.9500,http://www.ewamakai.org/,Oahu,Leeward,Kim M  Sanders,27,808.685.2052,7,8,Campbell,Campbell-Kapolei,0,296,Ewa Makai Middle School,Middle,1254,73,12,TRUE
-157.873236,21.32977481,1564 North King Street,Honolulu,96817,808.832.3600,http://farringtonhighschool.org,Oahu,Honolulu,Alfredo B  Carganilla,28,808.832.3587,9,12,Farrington,Farrington-Kaiser-Kalani,0,106,Farrington High School,High,2339,141,27,TRUE
-157.8820191,21.33919363,1121 Middle Street,Honolulu,96819,808.832.3040,http://fernschool.com/,Oahu,Honolulu,Glen K  Miyasato,29,808.832.3043,K,5,Farrington,Farrington-Kaiser-Kalani,0,107,Fern Elem School,Elementary,384,33,6.5,TRUE
-155.0924197,19.74456622,121 Haaheo Road,Hilo,96720,808.974.4111,http://www.haaheo.org/,Hawaii,Hawaii,Jennifer Naomi  Sueoka,30,808.974.4112,K,6,Hilo,Hilo-Waiakea,0,352,Haaheo Elem School,Elementary,178,12,2,TRUE
-157.709543,21.2973671,595 Pepeekeo Street,Honolulu,96825,808.397.5822,https://www.hahaionees.org/,Oahu,Honolulu,Shannon C  Goo,31,808.397.5827,K,5,Kaiser,Farrington-Kaiser-Kalani,0,108,Hahaione Elem School,Elementary,538,36,4,TRUE
-156.3225306,20.92821144,105 Pauwela Road,Haiku,96708,808.575.3000,http://haikuschool.org/,Maui,Maui,Desiree Sumiko Nani  Sides,32,808.575.3003,K,5,Kekaulike,Baldwin-Kekaulike-Maui,0,401,Haiku Elem School,Elementary,332,29,4,TRUE
-157.813455,21.40931102,45-720 Keaahala Road,Kaneohe,96744,808.235.9155,https://www.hakipuu.org/,Oahu,Windward,Michael Nakasato,33,808.235.9160,4,12,Castle,Castle-Kahuku,1,546,Hakipuu Learning Center - PCS,Elementary-Middle-High,61,,,FALSE
-157.8296006,21.31298766,2101 Makiki Heights Drive,Honolulu,96822,808.945.1600,http://www.halaukumana.org/,Oahu,Honolulu,Keolani Noa,34,808.945.1604,6,12,Roosevelt,Kaimuki-McKinley-Roosevelt,1,540,Halau Ku Mana - PCS,Intermediate,120,,,FALSE
-158.1134539,21.58442486,66-505 Haleiwa Road,Haleiwa,96712,808.637.8237,https://www.haleiwaelementary.com/,Oahu,Central,Malaea Frances Powell  Wetzel,35,808.637.8240,K,6,Waialua,Leilehua-Mililani-Waialua,0,206,Haleiwa Elem School,Elementary,225,16,6,TRUE
-156.0004608,20.77558264,4111 Hana Highway,Hana,96713,808.248.4815,http://www.hanak12school.org/,Maui,Maui,Christopher G  Sanita,36,808.248.4819,K,12,Hana,Hana-Lahainaluna-Lanai-Molokai,0,402,Hana High & Elem School,Elementary-Middle-High,382,33,7,TRUE
-159.5026527,22.20104177,5-5415 Kuhio Highway,Hanalei,96714,808.826.4300,http://www.hanalei.k12.hi.us/,Kauai,Kauai,James   Sines,37,808.826.4302,K,6,Kapaa,Kapaa-Kauai-Waimea,0,452,Hanalei Elem School,Elementary,218,15,3,TRUE
-157.907717,21.60577101,54-046 Kamehameha Highway,Hauula,96717,808.305.2100,https://www.hauulaelementary.com/,Oahu,Windward,Uilani K  Kaitoku,38,808.293.8927,K,6,Kahuku,Castle-Kahuku,0,303,Hauula Elem School,Elementary,359,30,4.5,TRUE
-158.0071871,21.38809839,94-450 Mokuola Street,Waipahu,96797,808.676.5444,https://hi.myhta.org,Oahu,Leeward,Stacey Bobo,39,808.676.5470,K,12,Waipahu,Pearl City-Waipahu,1,551,Hawaii Technology Academy-PCS,Elementary-Middle-High,1363,,,FALSE
-157.809106,21.41920544,46-202 Haiku Road,Kaneohe,96744,808.233.5677,http://heeiahawks.weebly.com/,Oahu,Windward,Alma M  Souki,40,808.233.5679,K,6,Castle,Castle-Kahuku,0,304,Heeia Elem School,Elementary,373,34,5,TRUE
-158.0231784,21.51354451,1001 Ihi Ihi Avenue,Wahiawa,96786,808.622.6336,https://www.helemano.k12.hi.us/,Oahu,Central,Ernest C  Muh,41,808.622.6368,K,5,Leilehua,Leilehua-Mililani-Waialua,0,208,Helemano Elem School,Elementary,469,42,5,TRUE
-154.9313428,19.50907412,15-1397 Homestead Road,Pahoa,96778,808.965.3730,http://www.haaspcs.org/,Hawaii,Hawaii,Steve Hirakami,42,808.965.3733,K,12,Pahoa,Kau-Keaau-Pahoa,1,561,HI Academy of Arts & Sci - PCS,Elementary-Middle-High,706,,,FALSE
-157.8158031,21.27274585,3440 Leahi Avenue,Honolulu,96815,808.733.4999,http://www.hsdb.k12.hi.us/,Oahu,Honolulu,Christine Kinau  Gardner,43,808.733.4824,K,12,Kalani,Farrington-Kaiser-Kalani,0,470,HI School for the Deaf & Blind,Elementary-Middle-High,46,18,3,TRUE
-157.9623293,21.34245997,Manzelman Circle,Honolulu,96818,808.421.4148,http://www.hickam.k12.hi.us/,Oahu,Central,Alisa Ann Estrella  Bender,44,808.421.4157,K,6,Radford,Aiea-Moanalua-Radford,0,209,Hickam Elem School,Elementary,456,38,4.5,TRUE
-157.962718,21.401347,1460 Hoolaulea Street,Pearl City,96782,808.453.6480,http://www.highlands.k12.hi.us/,Oahu,Leeward,Amy E  Martinson,45,808.453.6484,7,8,Pearl City,Pearl City-Waipahu,0,255,Highlands Inter School,Middle,755,57,10,TRUE
-155.095708,19.7211875,556 Waianuenue Avenue,Hilo,96720,808.974.4021,http://www.hilohs.k12.hi.us,Hawaii,Hawaii,Jasmine Shizue  Urasaki,46,808.974.4036,9,12,Hilo,Hilo-Waiakea,0,355,Hilo High School,High,1322,82,14,TRUE
-155.0946555,19.72173614,587 Waianuenue Avenue,Hilo,96720,808.974.4955,https://www.hilointermediate.com/,Hawaii,Hawaii,Heather Leigh  Dansdill,47,808.974.6184,7,8,Hilo,Hilo-Waiakea,0,356,Hilo Inter School,Middle,523,40,7,TRUE
-155.0945308,19.7219124,506 Waianuenue Avenue,Hilo,96720,808.933.0900,https://www.hilounionschool.org/,Hawaii,Hawaii,Bryan Kekoa  Arbles,48,808.933.0905,K,6,Hilo,Hilo-Waiakea,0,357,Hilo Union Elem School,Elementary,400,38,4,TRUE
-157.812668,21.29169301,2940 Kamakini Street,Honolulu,96816,808.733.4789,http://www.hokulani-elementary.com/,Oahu,Honolulu,Laurie L Q  Luczak,49,808.733.4792,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,109,Hokulani Elem School,Elementary,271,23,2,TRUE
-158.020026,21.33933202,91-1561 Keaunui Drive,Ewa Beach,96706,808.685.9100,http://holomua.hidoe.us,Oahu,Leeward,Gary Tsutomu  Yasui,50,808.685.9191,K,6,Campbell,Campbell-Kapolei,0,280,Holomua Elem School,Elementary,1080,79,8,TRUE
-155.949151,19.61713691,76-5957 Mamalahoa Highway,Holualoa,96725,808.322.4800,http://holualoahawks.org/wp/,Hawaii,Hawaii,Jeffrey M  Takiue,51,808.322.4801,K,5,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,0,358,Holualoa Elem School,Elementary,442,31,4,TRUE
-155.8796908,19.45072998,83-5360 Mamalahoa Highway,Captain Cook,96704,808.328.2727,http://honaunauelementaryschool.weebly.com,Hawaii,Hawaii,Noreen Hatsuko  Kunitomo,52,808.328.2729,K,5,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,0,359,Honaunau Elem School,Elementary,139,13,1.5,TRUE
-155.4640987,20.07550514,45-534 Pakalana Street,Honokaa,96727,808.775.8820,http://www.honokaael.k12.hi.us/,Hawaii,Hawaii,Rory John  Souza,53,808.775.8828,K,6,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,0,361,Honokaa Elem School,Elementary,397,23,4,TRUE
-155.4640415,20.07549382,45-527 Pakalana Street,Honokaa,96727,808.775.8800,http://www.honokaa.k12.hi.us/,Hawaii,Hawaii,Rachelle   Matsumura,54,808.775.8803,7,12,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,0,360,Honokaa High & Inter School,Intermediate,629,39,10,TRUE
-158.0480074,21.34595469,91-559 Maunakapu Street,Kapolei,96707,808.305.8281,https://www.honouliuli.k12.hi.us/,Oahu,Leeward,Todd Y  Fujimori,55,000.000.0000,6,8,Kapolei,Campbell-Kapolei,0,297,Honouliuli Middle School,Middle,445,,,TRUE
-158.0263589,21.38431422,94-600 Honowai Street,Waipahu,96797,808.307.7100,http://honowai.org/,Oahu,Leeward,Kent R  Matsumura,56,808.675.0167,K,6,Waipahu,Pearl City-Waipahu,0,276,Honowai Elem School,Elementary,626,44,9,TRUE
-158.0731565,21.32716175,511 Kunehi Street,Kapolei,96707,808.305.8500,http://hookele.hidoe.us/,Oahu,Leeward,Laureen Michiko  Dunn,57,,K,5,Kapolei,Campbell-Kapolei,0,293,Hookele Elem School,Elementary,779,53,7,TRUE
-155.8780591,19.38684827,86-4355 Mamalahoa Highway,Captain Cook,96704,808.328.2710,http://hookenael.k12.hi.us/,Hawaii,Hawaii,Tammy L  Yoshimura-Furrer,58,808.328.2712,K,5,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,0,363,Hookena Elem School,Elementary,123,7,2,TRUE
-156.5012389,20.88493992,260 South Market Street,Wailuku,96793,808.984.5610,https://www.iaoschool.org/,Maui,Maui,Matthew Joseph Ernest  Dillon,59,808.984.5617,6,8,Baldwin,Baldwin-Kekaulike-Maui,0,404,Iao Inter School,Middle,818,68,11,TRUE
-157.9996177,21.50655216,2035 California Avenue,Wahiawa,96786,808.622.6411,https://www.iliahiel.k12.hi.us/,Oahu,Central,Garett Y  Yukumoto,60,808.622.6413,K,5,Leilehua,Leilehua-Mililani-Waialua,0,210,Iliahi Elem School,Elementary,330,27,6,TRUE
-158.009712,21.31576198,91-884 Fort Weaver Road,Ewa Beach,96706,808.689.1250,http://ilimaintermediate.com/,Oahu,Leeward,Christopher D  Bonilla,61,808.689.1258,7,8,Campbell,Campbell-Kapolei,0,279,Ilima Inter School,Middle,647,50,8,TRUE
-155.9765039,19.63180235,75-5815 Queen Kaahumanu Highway,Kailua-Kona,96740,808.331.3130,http://www.ipcs.info/,Hawaii,Hawaii,Jennifer Hiro,62,808.327.6209,1,8,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,1,548,Innovations - PCS,Elementary-Middle,241,,,FALSE
-158.0629143,21.49519414,1 Ayres Avenue,Wahiawa,96786,808.305.3400,https://www.dkies.org,Oahu,Central,Yuuko L I  Arikawa,63,808.622.6382,K,5,Leilehua,Leilehua-Mililani-Waialua,0,207,Inouye Elem School,Elementary,542,53,8,TRUE
-157.9815161,21.31898744,5553 Cormorant Avenue,Ewa Beach,96706,808.499.6500,http://iroquois.k12.hi.us/,Oahu,Leeward,Ofelia Acosta  Reed,64,808.499.6508,K,6,Campbell,Campbell-Kapolei,0,256,Iroquois Point Elem School,Elementary,672,46,6,TRUE
-157.797104,21.29731501,1903 Palolo Avenue,Honolulu,96816,808.733.4888,http://www.jmshi.org,Oahu,Honolulu,Reid Masaichi  Kuba,65,808.733.4894,6,8,Kaimuki,Kaimuki-McKinley-Roosevelt,0,110,Jarrett Middle School,Middle,266,22,6,TRUE
-157.8185116,21.27245705,324 Kapahulu Avenue,Honolulu,96815,808.971.6922,http://jeffersonsurfers.k12.hi.us/,Oahu,Honolulu,Garret S  Zakahi,66,808.971.6933,K,5,Kaimuki,Kaimuki-McKinley-Roosevelt,0,111,Jefferson Elem School,Elementary,357,25,3,TRUE
-155.0457964,19.72851843,222 Desha Avenue,Hilo,96720,808.933.3482,http://kaumeke.org/,Hawaii,Hawaii,Michelle Nohea Nahale-a,67,808.933.3488,PreK,11,Waiakea,Hilo-Waiakea,1,562,Ka Umeke Kaeo - PCS,Elementary-Middle,240,,,FALSE
-158.144481,21.38052451,89-195 Farrington Highway,Wai'anae,96792,808.620.9030,http://www.kawaihonapcs.org/,Oahu,Leeward,Kalehua Krug,68,808.620.9036,K,8,Nanakuli,Nanakuli-Waianae,1,545,Ka Waihona O Ka Naauao - PCS,Elementary-Middle,632,,,FALSE
-157.8465263,21.54759323,51-296 Kamehameha Highway,Kaaawa,96730,808.237.7751,https://www.kaaawaschool.k12.hi.us/,Oahu,Windward,Jennifer L  Luke Payne,69,808.237.7755,K,6,Kahuku,Castle-Kahuku,0,305,Kaaawa Elem School,Elementary,115,10,3,TRUE
-157.8435035,21.30269464,1141 Kinau Street,Honolulu,96814,808.587.4414,http://www.qkes.us/,Oahu,Honolulu,Cindy Chong Hye  Yun-Kim,70,808.587.4415,K,5,McKinley,Kaimuki-McKinley-Roosevelt,0,112,Kaahumanu Elem School,Elementary,415,40,5,TRUE
-158.036875,21.49417301,130 California Avenue,Wahiawa,96786,808.622.6366,http://www.kaala.k12.hi.us/,Oahu,Central,Samuel E  Bennett,71,808.622.6368,K,5,Leilehua,Leilehua-Mililani-Waialua,0,211,Kaala Elem School,Elementary,411,34,4,TRUE
-157.7410738,21.38142644,530 Keolu Drive,Kailua,96734,808.266.7811,http://www.kaelepululadybugs.k12.hi.us/,Oahu,Windward,Cherilyn M  Inouye,72,808.266.7813,K,6,Kailua,Kailua-Kalaheo,0,330,Kaelepulu Elem School,Elementary,188,13,3,TRUE
-157.868939,21.34489899,1929 Kamehameha IV Road,Honolulu,96819,808.832.3500,http://www.kaewaielementary.com/,Oahu,Honolulu,Bert Chris  Carter,73,808.832.3509,K,5,Farrington,Farrington-Kaiser-Kalani,0,113,Kaewai Elem School,Elementary,274,23,4,TRUE
